Normativa,Link,Tipo de Norma,Número,Día,Año,Mes
DECRETO 128 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 128 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],128,26,2016,ENERO
DECRETO 127 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 127 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],127,26,2016,ENERO
DECRETO 126 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 126 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],126,26,2016,ENERO
DECRETO 125 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 125 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],125,26,2016,ENERO
DECRETO 124 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 124 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],124,26,2016,ENERO
DECRETO 123 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 123 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],123,26,2016,ENERO
DECRETO 122 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 122 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],122,26,2016,ENERO
DECRETO 121 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 121 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],121,26,2016,ENERO
DECRETO 120 DEL 26 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 120 DEL 26 DE ENERO DE 2016.pdf,['DECRETO'],120,26,2016,ENERO
DECRETO 118 DEL 25 DE ENERO DE 2016,https://dapre.presidencia.gov.co/normativa/normativa/DECRETO 118 DEL 25 DE ENERO DE 2016.pdf,['DECRETO'],118,25,2016,ENERO
